 9.60899997, 7938., 248., 3905., 2273., 7902., 3997.,
 10.81400013, 3986., 5762., 7039., 9917., 2365., 5814.,
 11.99600005, 1384., 8046., 326., 9413., 7883., 8153.,
 13.20200014, 4365., 9549., 1755., 4188., 3522., 6678.,
 14.44799995, 1718., 7877., 4491., 5558., 2982., 748.,
 15.63800001, 8306., 2252., 2715., 2110., 1876., 95.,
 16.86100006, 2859., 4390., 5636., 3084., 464., 6438.,
 18.05500007, 93., 7572., 9756., 5304., 8555., 4219.,
 19.26200008, 4586., 2513., 9737., 5021., 8715., 5856.,
 20.44200015, 9416., 1204., 4597., 5390., 5563., 2689.,
 21.64400005, 4887., 1931., 1495., 9093., 4075., 7506.,
 22.85800004, 7840., 624., 7418., 5899., 9337., 7325.,
 24.06299996, 3406., 405., 6853., 7686., 7184., 9731.,
 25.2650001, 2371., 8937., 4804., 570., 567., 8065.,
 26.48699999, 3430., 4875., 9532., 7397., 7953., 3385.,
 27.68900013, 9604., 2337., 10., 3003., 8360., 4092.,
 28.89600015, 9291., 930., 301., 9869., 164., 4861.,
 30.09800005, 810., 3115., 849., 3052., 3878., 457.,
 31.32400012, 603., 3502., 3271., 97., 1745., 1782.,
 32.55299997, 4530., 1945., 9396., 6408., 2060., 7298.,
 33.78500009, 1611., 8115., 83., 7013., 4377., 5126.,
 34.99300003, 5417., 1348., 6150., 6531., 195., 7685.,
 36.22300005, 7966., 6670., 4108., 1488., 4579., 8458.,
 37.45500016, 9470., 4065., 3851., 2467., 5505., 2077.,
 38.68600011, 7539., 9491., 5983., 907., 6838., 6196.,
 39.91799998, 8975., 5249., 4479., 5561., 5913., 8894.,
 41.148, 9517., 4514., 6032., 2147., 7095., 7297.,
 42.37700009, 8299., 8371., 2617., 6504., 5123., 7241.,
 43.60800004, 2603., 9496., 5132., 6900., 3953., 1126.,
 44.83899999, 1906., 1738., 7036., 9141., 4610., 2404.,
 46.09500003, 1794., 7011., 5222., 4977., 2090., 7160.,
 47.32000017, 2960., 2844., 8015., 1115., 1708., 5379.,
